week,date,session,time,subject,content,learning_goal,instructor
1,2026-02-02,오전,09:00 ~ 12:00,객체지향 프로그래밍,"데코레이터 패턴, 옵저버 패턴",데코레이터 패턴과 옵저버 패턴의 구조를 이해하고 Java로 구현할 수 있다,김영아
1,2026-02-02,오후,13:00 ~ 18:00,객체지향 프로그래밍,"파사드 패턴, 전략 패턴",파사드 패턴과 전략 패턴의 차이를 설명하고 실습 예제에 적용할 수 있다,김영아
1,2026-02-03,오전,09:00 ~ 12:00,Front-End Programming,"HTML, CSS를 이용한 화면 설계 및 표현",HTML 구조와 CSS 스타일링 기법을 이해하고 기본 웹 페이지를 구현할 수 있다,김영아
1,2026-02-03,오후,13:00 ~ 18:00,Front-End Programming,"HTML, CSS를 이용한 화면 설계 및 표현",HTML 구조와 CSS 스타일링 기법을 이해하고 기본 웹 페이지를 구현할 수 있다,김영아
1,2026-02-04,오전,09:00 ~ 12:00,Front-End Programming,"HTML, CSS를 이용한 화면 설계 및 표현",HTML 구조와 CSS 스타일링 기법을 이해하고 기본 웹 페이지를 구현할 수 있다,김영아
1,2026-02-04,오후,13:00 ~ 18:00,Front-End Programming,"HTML, CSS를 이용한 화면 설계 및 표현",HTML 구조와 CSS 스타일링 기법을 이해하고 기본 웹 페이지를 구현할 수 있다,김영아
1,2026-02-05,오전,09:00 ~ 12:00,Front-End Programming,JavaScript 기본 문법,"JavaScript의 변수, 함수, 이벤트 처리 등 기본 문법을 이해하고 활용할 수 있다",김영아
1,2026-02-05,오후,13:00 ~ 18:00,Front-End Programming,JavaScript 기본 문법,"JavaScript의 변수, 함수, 이벤트 처리 등 기본 문법을 이해하고 활용할 수 있다",김영아
1,2026-02-06,오전,09:00 ~ 12:00,Front-End Programming,JavaScript 기본 문법,"JavaScript의 변수, 함수, 이벤트 처리 등 기본 문법을 이해하고 활용할 수 있다",김영아
1,2026-02-06,오후,13:00 ~ 18:00,Front-End Programming,JavaScript 기본 문법,"JavaScript의 변수, 함수, 이벤트 처리 등 기본 문법을 이해하고 활용할 수 있다",김영아
2,2026-02-09,오전,09:00 ~ 12:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-09,오후,13:00 ~ 18:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-10,오전,09:00 ~ 12:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-10,오후,13:00 ~ 18:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-11,오전,09:00 ~ 12:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-11,오후,13:00 ~ 18:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-12,오전,09:00 ~ 12:00,Front-End Programming,React.js 기반의 웹 사이트 구현,React 컴포넌트 구조와 상태 관리를 이해하고 기본 웹 사이트를 구현할 수 있다,김영아
2,2026-02-12,오후,13:00 ~ 18:00,Front-End Programming,컴포넌트 스타일링(테일윈드 등),Tailwind CSS를 활용하여 React 컴포넌트를 스타일링할 수 있다,김영아
2,2026-02-13,오전,09:00 ~ 12:00,Front-End Programming,컴포넌트 스타일링(테일윈드 등),Tailwind CSS를 활용하여 React 컴포넌트를 스타일링할 수 있다,김영아
2,2026-02-13,오후,13:00 ~ 18:00,Front-End Programming,컴포넌트 스타일링(테일윈드 등),Tailwind CSS를 활용하여 React 컴포넌트를 스타일링할 수 있다,김영아
3,2026-02-23,오전,09:00 ~ 12:00,Front-End Programming,React Query 와 같은 서버상태 관리도구 사용,React Query를 활용하여 서버 상태를 관리하고 비동기 데이터를 처리할 수 있다,김영아
3,2026-02-23,오후,13:00 ~ 18:00,Front-End Programming,React Query 와 같은 서버상태 관리도구 사용,React Query를 활용하여 서버 상태를 관리하고 비동기 데이터를 처리할 수 있다,김영아
3,2026-02-24,오전,09:00 ~ 12:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-24,오후,13:00 ~ 18:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-25,오전,09:00 ~ 12:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-25,오후,13:00 ~ 18:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-26,오전,09:00 ~ 12:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-26,오후,13:00 ~ 18:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-27,오전,09:00 ~ 12:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
3,2026-02-27,오후,13:00 ~ 18:00,Back-End Programming,HTTP 통신 개요 및 웹 작동 방식,HTTP 프로토콜의 구조와 요청/응답 방식을 이해하고 웹 통신 흐름을 설명할 수 있다,김영아
